feature,importance
total_interactions,0.13119784765400605
total_assessments,0.11648175915486311
total_clicks,0.11637431889480862
highest_score,0.07232584580876046
avg_score,0.05194477251821695
engagement_score,0.050950397167938845
performance_level_Unknown,0.048793710310764585
avg_clicks,0.047892706505898816
lowest_score,0.04450827595595053
id_student,0.04342717266440163
date_registration,0.042677376445147824
studied_credits,0.02519655168487569
code_module_CCC,0.012168904508032952
code_module_GGG,0.01094538860970201
code_module_FFF,0.010889122548510101
code_module_BBB,0.008329205743309396
gender_M,0.007890223077306482
highest_education_Lower Than A Level,0.007754622990110582
num_of_prev_attempts,0.007670216089384515
code_presentation_2014J,0.00765609203526791
age_band_35-55,0.007011114770622589
code_presentation_2013J,0.00662110263617846
code_module_DDD,0.0062035202111021944
code_presentation_2014B,0.006095113982945457
performance_level_Medium,0.005919572269409422
code_module_EEE,0.005741688009995602
region_Scotland,0.005391846112373791
imd_band_20-30%,0.005076128961204586
disability_Y,0.005053907737239961
imd_band_10-20,0.004741685840906469
region_Wales,0.004646444793041277
region_North Western Region,0.0044778556405120325
imd_band_30-40%,0.004450805167695532
imd_band_40-50%,0.004402264166715846
highest_education_HE Qualification,0.00435565701872821
imd_band_50-60%,0.004242301240941396
region_London Region,0.004109496057526913
imd_band_60-70%,0.0040554559529036175
imd_band_70-80%,0.003942260346825181
region_West Midlands Region,0.003796435287785585
region_South Region,0.003724387640505696
imd_band_80-90%,0.0036901934391103254
region_East Midlands Region,0.003561128748938333
region_South West Region,0.0035574715150650427
region_Yorkshire Region,0.003443507258142288
imd_band_90-100%,0.0033318350464176423
region_North Region,0.003121829103166034
region_South East Region,0.003052443063725749
region_Ireland,0.002549821973798987
performance_level_Low,0.0021291368462614136
highest_education_No Formal quals,0.0011227202577351076
highest_education_Post Graduate Qualification,0.0006933824435563914
age_band_55<=,0.0006129760916658612
